stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
490000248G,,Victoria (Stop G),,51.4965360,-0.1434590,,,0,,Europe/London,1
490000248H,,Victoria (Stop J),,51.4956630,-0.1430050,,,0,,Europe/London,1
490000248J,,Victoria (Stop Z1),,51.4948310,-0.1425630,,,0,,Europe/London,1
490000248N2,,Victoria Stn  Grosvenor Gdns (Stop S),,51.4964450,-0.1451050,,,0,,Europe/London,1
490000248S,,Victoria (Stop U),,51.4960020,-0.1422420,,,0,,Europe/London,1
490000248S2,,Victoria (Stop Z12),,51.4947780,-0.1460660,,,0,,Europe/London,1
490000248UA,,Victoria (Stop 11),,51.4952700,-0.1459740,,,0,,Europe/London,1
490000248YZ,,Victoria,,51.4962200,-0.1435010,,,0,,Europe/London,1
490000248Z,,Victoria,,51.4960860,-0.1445870,,,0,,Europe/London,1
490000248ZZ,,Victoria (Stop H),,51.4958460,-0.1432130,,,0,,Europe/London,1
490000260O,,West Brompton Station (Stop O),,51.4877930,-0.1946320,,,0,,Europe/London,1
490000260P,,West Brompton Station (Stop P),,51.4875370,-0.1956360,,,0,,Europe/London,1
490000265A,,West Kensington (Stop S),,51.4905660,-0.2066090,,,0,,Europe/London,1
490000265B,,West Kensington (Stop T),,51.4899180,-0.2064610,,,0,,Europe/London,1
490000284FQ,,Lambrook Terrace (Stop FQ),,51.4760480,-0.2152710,,,0,,Europe/London,1
490000286Z,,Nelson's Row (Stop B),,51.4626240,-0.1356210,,,0,,Europe/London,1
490000288Z,,Omnibus Clapham,,51.4636150,-0.1419440,,,0,,Europe/London,1
490000450Z,,Stockwell Station  Clapham Road,,51.4714660,-0.1232090,,,0,,Europe/London,1
490000807Z,,St John Bosco College,,51.4750250,-0.1721390,,,0,,Europe/London,1
490001016A,,Battersea Park Station (Stop A),,51.4771040,-0.1471430,,,0,,Europe/London,1
490001016B,,Battersea Park Station (Stop B),,51.4767800,-0.1471130,,,0,,Europe/London,1
490001016C,,Battersea Park Station (Stop C),,51.4769100,-0.1482590,,,0,,Europe/London,1
490001016D,,Battersea Park Station (Stop D),,51.4769480,-0.1484310,,,0,,Europe/London,1
490001069C,,Clapham Junction Station (Stop C),,51.4630130,-0.1704590,,,0,,Europe/London,1
490001069D,,Clapham Junction Station (Stop D),,51.4636190,-0.1683910,,,0,,Europe/London,1
490001069M,,Clapham Junction Station (Stop M),,51.4632610,-0.1685200,,,0,,Europe/London,1
490001231B,,Putney (Stop B),,51.4614720,-0.2171210,,,0,,Europe/London,1
490001231D,,Putney (Stop D),,51.4612920,-0.2165660,,,0,,Europe/London,1
490001231E,,Putney (Stop E),,51.4611430,-0.2166010,,,0,,Europe/London,1
490001231F,,Putney (Stop F),,51.4606090,-0.2153260,,,0,,Europe/London,1
490001231G,,Putney (Stop G),,51.4605830,-0.2164360,,,0,,Europe/London,1
490001231H,,Putney (Stop H),,51.4601900,-0.2172140,,,0,,Europe/London,1
490001231N,,St John's Avenue (Stop C),,51.4600030,-0.2174950,,,0,,Europe/London,1
490001234N,,Queenstown Road Battersea (Stop K),,51.4743230,-0.1469960,,,0,,Europe/London,1
490001234S,,Queenstown Road Battersea (Stop L),,51.4741330,-0.1473060,,,0,,Europe/London,1
490001310A,,Wandsworth Road Station (Stop L),,51.4702150,-0.1397430,,,0,,Europe/London,1
490001310B,,Westbury Street (Stop C),,51.4698560,-0.1403090,,,0,,Europe/London,1
490001311E,,Wandsworth Town (Stop AA),,51.4610900,-0.1875230,,,0,,Europe/London,1
490001311W,,Wandsworth Town (Stop BB),,51.4603390,-0.1882010,,,0,,Europe/London,1
4900013855N1,,Turpentine Lane (Stop K),,51.4890860,-0.1466280,,,0,,Europe/London,1
4900019445,,Binfield Road  Stockwell Station (Stop C),,51.4725880,-0.1231200,,,0,,Europe/London,1
490002139ZZ,,Victoria Street  Victoria,,51.4962580,-0.1441760,,,0,,Europe/London,1
490003045X,,Wandsworth Police Station (Stop X),,51.4573060,-0.1957770,,,0,,Europe/London,1
490003059D,,Parliament Square (Stop M),,51.4979550,-0.1259110,,,0,,Europe/London,1
490003059E,,Abingdon Street (Stop L),,51.4975890,-0.1255800,,,0,,Europe/London,1
490003059N,,Abingdon Street (Stop N),,51.4971810,-0.1257550,,,0,,Europe/London,1
490003070N,,Clapham Park Road (Stop N),,51.4606900,-0.1292800,,,0,,Europe/London,1
490003070S,,Clapham Park Road (Stop J),,51.4605060,-0.1290430,,,0,,Europe/London,1
490003090S,,Imperial Road (Stop Y),,51.4740560,-0.1831510,,,0,,Europe/London,1
490003106E,,Warwick Gardens (Stop W),,51.4974480,-0.2037740,,,0,,Europe/London,1
490003106W,,Warwick Gardens (Stop Z),,51.4975280,-0.2031510,,,0,,Europe/London,1
490003152E,,Albert Bridge (Stop QE),,51.4831620,-0.1686450,,,0,,Europe/London,1
490003152W,,Albert Bridge (Stop QD),,51.4834480,-0.1661140,,,0,,Europe/London,1
490003164N,,Albert Square (Stop W),,51.4762610,-0.1184620,,,0,,Europe/London,1
490003164S,,Albert Square (Stop J),,51.4769480,-0.1173970,,,0,,Europe/London,1
490003179S,,Alderney Street (Stop M),,51.4879230,-0.1395890,,,0,,Europe/London,1
490003200N,,Alexander Court (Stop G),,51.4574930,-0.1815190,,,0,,Europe/London,1
490003259E,,East Hill  Alma Road (Stop A),,51.4577060,-0.1854980,,,0,,Europe/London,1
490003359A,,Archbishop Tenison's School (Stop A),,51.4830320,-0.1155190,,,0,,Europe/London,1
490003359B,,Archbishop Tenison's School (Stop B),,51.4832080,-0.1163040,,,0,,Europe/London,1
490003383D,,Armoury Way (Stop D),,51.4583020,-0.1966600,,,0,,Europe/London,1
490003383E,,Armoury Way (Stop E),,51.4583090,-0.1965870,,,0,,Europe/London,1
490003384SA,,Westminster City Hall (Stop SA),,51.4974250,-0.1366080,,,0,,Europe/London,1
490003384SB,,Westminster City Hall (Stop SB),,51.4971500,-0.1374260,,,0,,Europe/London,1
490003543E,,Badric Court (Stop LM),,51.4700130,-0.1747440,,,0,,Europe/London,1
490003543LL,,Badric Court (Stop LL),,51.4698410,-0.1741460,,,0,,Europe/London,1
490003559S,,Ponsonby Terrace (Stop S),,51.4896740,-0.1304710,,,0,,Europe/London,1
490003682E,,Beaufort Street (Stop BB),,51.4824490,-0.1724190,,,0,,Europe/London,1
490003682W,,Beaufort Street (Stop BC),,51.4823460,-0.1721920,,,0,,Europe/London,1
490003683N,,Battersea Bridge (Stop BL),,51.4797710,-0.1714460,,,0,,Europe/London,1
490003683S,,Battersea Bridge  Hester Road (Stop BD),,51.4796560,-0.1710470,,,0,,Europe/London,1
490003685E,,Harris Academy Battersea (Stop LT),,51.4740370,-0.1589160,,,0,,Europe/London,1
490003685W,,Harris Academy Battersea (Stop LA),,51.4732090,-0.1612540,,,0,,Europe/London,1
490003686E,,Battersea Dogs And Cats Home (Stop J),,51.4781950,-0.1450100,,,0,,Europe/London,1
490003686S,,Battersea Dogs And Cats Home (Stop H),,51.4783860,-0.1445560,,,0,,Europe/London,1
490003686W,,Battersea Park Station (Stop P),,51.4778750,-0.1463050,,,0,,Europe/London,1
490003687E,,Battersea High St Clapham Jct (Stop LN),,51.4700430,-0.1727270,,,0,,Europe/London,1
490003687N1,,Battersea High St Clapham Jct (Stop LK),,51.4695470,-0.1715230,,,0,,Europe/London,1
490003687W2,,Battersea High St Clapham Jct (Stop LE),,51.4704320,-0.1705660,,,0,,Europe/London,1
490003688E,,Battersea High Street (Stop F),,51.4744260,-0.1764690,,,0,,Europe/London,1
490003688W,,Battersea High Street (Stop J),,51.4743880,-0.1762540,,,0,,Europe/London,1
490003690E,,Battersea Park Library (Stop LY),,51.4744570,-0.1566100,,,0,,Europe/London,1
